ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;UBICACION;USO;MODELO
"9560920";"Fuentes de beber";"183";"ENSANCHE DE VALLECAS";"18";"VILLA DE VALLECAS";"OPERATIVO";"447948.376";"4468940.4";"ETRS89";40.36941539;-3.61310633;"AVENIDA";"ENSANCHE DE VALLECAS";"14 G";"28051";"ENTRE PARQUE INFANTIL Y PISTA DE PARKOUR";"31050905";"2024-08-21 00:00:00.0";"FUE_18_0088";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9560942";"Fuentes de beber";"123";"SAN FERMIN";"12";"USERA";"OPERATIVO";"441589.095";"4468938.657";"ETRS89";40.36897835;-3.68800611;"CALLE";"ADORA";"12";"28041";"CERCA DE PLAZA LEIRE Y ZONA INFANTIL";"20095524";"2024-08-26 00:00:00.0";"FUE_12_0091";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9566593";"Fuentes de beber";"112";"OPAÑEL";"11";"CARABANCHEL";"OPERATIVO";"438243.075";"4470936.552";"ETRS89";40.38673519;-3.72760863;"AVENIDA";"OPORTO";"78";"28019";"AL LADO DEL CENTRO CULTURAL OPORTO";"11070372";"2024-08-28 00:00:00.0";"FUE_11_0150";"FUE22";"VP";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9578764";"Fuentes de beber";"194";"EL CAÑAVERAL";"19";"VICALVARO";"OPERATIVO";"452681.311";"4472768.449";"ETRS89";40.40418351;-3.55764495;"AVENIDA";"MIGUEL DELIBES";"95";"28052";;"31037300";"2024-09-04 00:00:00.0";"FUE_19_0149";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9578816";"Fuentes de beber";"106";"CUATRO VIENTOS";"10";"LATINA";"OPERATIVO";"435180.144";"4468658.765";"ETRS89";40.36598326;-3.76346091;"CALLE";"LONJA DE LA SEDA";"43";"28054";"CERCA INSTALACIÓN DEPORTIVA LONJA DE LA SEDA";"31005006";"2024-09-06 00:00:00.0";"FUE_10_0139";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9578819";"Fuentes de beber";"194";"EL CAÑAVERAL";"19";"VICALVARO";"OPERATIVO";"453391.224";"4472921.999";"ETRS89";40.40560685;-3.54929032;"CALLE";"CERRO DEL CAMPO";"41";"28052";"CERCA DEL ÁREA INFANTIL";"31040410";"2024-09-06 00:00:00.0";"FUE_19_0150";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9583617";"Fuentes de beber";"024";"LEGAZPI";"02";"ARGANZUELA";"OPERATIVO";"441043.631";"4470978.708";"ETRS89";40.38731785;-3.69461926;"CALLE";"TERESA LOPEZ VALCARCEL";"17";"28045";"JUNTO ZONA INFANTIL";"20174514";"2024-09-16 00:00:00.0";"FUE_02_0069";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9590758";"Fuentes de beber";"194";"EL CAÑAVERAL";"19";"VICALVARO";"OPERATIVO";"452565.858";"4472586.802";"ETRS89";40.40254053;-3.55899195;"CALLE";"IMPERIO ARGENTINA";"71";"28052";"ENTRE C/CONCEJAL VICTORINO GRANIZO Y C/ENRIQUE URQUIJO";"31037303";"2024-09-19 00:00:00.0";"FUE_19_0155";"FUE22";"VP";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9607782";"Fuentes de beber";"083";"PEÑAGRANDE";"08";"FUENCARRAL-EL PARDO";"CERRADA_TEMPORALMENT";"437895.595";"4481437.441";"ETRS89";40.48130544;-3.73272840;"CALLE";"LEOPOLDO ALAS CLARIN";"47";"28035";"cv Doctor Reinosa. Junto a zona infantil.";"11051477";"2024-10-03 00:00:00.0";"FUE_08_0215";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9667162";"Fuentes de beber";"104";"ALUCHE";"10";"LATINA";"OPERATIVO";"434932.588";"4471898.029";"ETRS89";40.39514457;-3.76670718;"CALLE";"ESCALONA";"90";"28024";"CERCA DE ZONA INFANTIL";"31051792";"2024-11-14 00:00:00.0";"FUE_10_0142";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9697993";"Fuentes de beber";"092";"ARGÜELLES";"09";"MONCLOA - ARAVACA";"OPERATIVO";"439477.023";"4474929.676";"ETRS89";40.42279769;-3.71345128;;;;"28008";;;;"FUEP_09_26_0003";"PV24";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9697995";"Fuentes de beber";"091";"CASA DE CAMPO";"09";"MONCLOA - ARAVACA";"OPERATIVO";"439293.082";"4474998.237";"ETRS89";40.42340192;-3.71562598;;;;"28008";;;;"FUEP_09_26_0001";"PV24";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9697996";"Fuentes de beber";"092";"ARGÜELLES";"09";"MONCLOA - ARAVACA";"OPERATIVO";"439529.317";"4474917.653";"ETRS89";40.42269319;-3.71283373;;;;"28008";;;;"FUEP_09_26_0005";"PV24";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9591247";"Fuentes de beber";"054";"HISPANOAMERICA";"05";"CHAMARTIN";"CERRADA_TEMPORALMENT";"442991.554";"4478402.575";"ETRS89";40.45433152;-3.67233600;"CALLE";"VICTOR DE LA SERNA";"19";"28016";"Junto a zona infantil";"11024289";"2024-09-20 00:00:00.0";"FUE_05_0093";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9636692";"Fuentes de beber";"107";"AGUILAS";"10";"LATINA";"OPERATIVO";"433896.252";"4470678.372";"ETRS89";40.38407585;-3.77879097;"CALLE";"FRAY JOSE CERDEIRIÑA";"51";"28024";"JUNTO AL PARKING DE BICIS, AL LADO DEL COLEGIO CIUDAD DE BADAJOZ";"11067270";"2024-10-21 00:00:00.0";"FUE_10_0140";"FUE22";"VP";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9667671";"Fuentes de beber";"103";"LUCERO";"10";"LATINA";"OPERATIVO";"435981.309";"4472453.523";"ETRS89";40.40022995;-3.75440669;"CALLE";"CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN";"170";"28047";"CERCA PARADA DE BUS SEPÚLVEDA-CONCECAL FRANCISCO JIMÉNEZ";"20086593";"2024-11-15 00:00:00.0";"FUE_10_0143";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9690822";"Fuentes de beber";"174";"LOS ROSALES";"17";"VILLAVERDE";"OPERATIVO";"441937.216";"4467629.289";"ETRS89";40.35720711;-3.68378677;"CALLE";"AUGUSTOBRIGA";"8";"28021";"JUNTO ÁREA INFANTIL";"31001978";"2024-11-22 00:00:00.0";"FUE_17_0146";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9697961";"Fuentes de beber";"181";"CASCO HISTORICO DE VALLECAS";"18";"VILLA DE VALLECAS";"OPERATIVO";"446592.721";"4468332.629";"ETRS89";40.36385442;-3.62902254;"Avda";"Mayorazgo";"26";"28031";"Parque de la Gavia - Área canina";;;"FB_270007";"PV24";"ZV";"PERSONAS_Y_MASCOTAS";"OTRO"
"9697994";"Fuentes de beber";"092";"ARGÜELLES";"09";"MONCLOA - ARAVACA";"OPERATIVO";"439365.95";"4474955.694";"ETRS89";40.42302399;-3.71476300;;;;"28008";;;;"FUEP_09_26_0002";"PV24";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9697997";"Fuentes de beber";"092";"ARGÜELLES";"09";"MONCLOA - ARAVACA";"OPERATIVO";"439512.799";"4474970.048";"ETRS89";40.42316398;-3.71303342;;;;"28008";;;;"FUEP_09_26_0004";"PV24";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
